policyNumber,policyTitle,uriPolicyId,ombPolicyId,policyType,policyIssuanceYear,policySunset,reqId,issuingBody,policySection,policySubSection,reqText,verb,Impacted Entity,reqDeadline,citation,Acquisition/Contracts (Keywords),Human Capital (Keywords),Cloud (Keywords),Data Centers (Keywords),Cybersecurity (Keywords),Privacy (Keywords),Shared Services (Keywords),IT Project Management (Keywords),Software (Keywords),Digital Services (Keywords),Mobile (Keywords),Hardware/Government Furnished Equipment (GFE) (Keywords),"IT Transparency (Open Data, FOIA, Public Records, etc.) (Keywords)",Agency Statistics (Keywords),Customer Services (Keywords),Governance (Keywords),Financial Systems (Keywords),Budget (Keywords),Governance - Org Structure (Keywords),Governance - Implementation (Keywords),Data Management/Standards (Keywords),Definitions (Keywords),Reporting (Keywords),Other (Keywords)
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.272,Office of Management and Budget (OMB),Appendix I,Non-Federal Entities,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Non-Federal Entities ; Consistent with the agency’s authority, ensure that the requirements of the Privacy Act apply to a Privacy Act system of records when a contractor operates the system of records on behalf of the agency to accomplish an agency function;",NA,All CFO Act Agencies,None specified,None specified,,,,,,x,,,,x,,,x,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.273,Office of Management and Budget (OMB),Appendix I,Non-Federal Entities,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Non-Federal Entities ; Collaborate with non-Federal entities and other agencies as appropriate to ensure that security and privacy requirements pertaining to these non-Federal entities, such as State, local, tribal, and territorial governments, are consistent to the greatest extent possible",NA,All CFO Act Agencies,None specified,None specified,,,,,x,,,,,,,,,,,x,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.274,Office of Management and Budget (OMB),Appendix I,Non-Federal Entities,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Non-Federal Entities ; Ensure that terms and conditions of contracts and other agreements include sufficient provisions for Federal Government notification and access, as well as cooperation with agency personnel and Inspectors General.",NA,All CFO Act Agencies,None specified,None specified,x,,,,x,,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.275,Office of Management and Budget (OMB),Appendix I,Mitigation of Deficiencies and Issuance of Status Reports,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Mitigation of Deficiencies and Issuance of Status Reports ; Agencies shall correct deficiencies that are identified through information security and privacy assessments, ISCM and PCM programs, or internal or external audits and reviews, to include OMB reviews.  OMB Circular A-123, Management’s Responsibility for Internal Controls, provides guidance to determine whether a deficiency in controls is material when so judged by the agency head against other agency deficiencies.  Material deficiencies must be included in the annual Federal Managers Financial Integrity Act (FMFIA) report, and remediation tracked and managed through the agency’s POA&M process. Less significant deficiencies need not be included in the FMFIA report, but must be tracked and managed through the agency’s POA&M process.",shall,All CFO Act Agencies,None specified,None specified,,,,,x,,,,,,,,,,,,,,,,,,X,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.276,Office of Management and Budget (OMB),Appendix I, Reporting ,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ;  Reporting  ; Agencies shall provide performance metrics information and FISMA reports in accordance with processes established by OMB and DHS pursuant to FISMA.   ",shall,All CFO Act Agencies,None specified,None specified,,,,,x,,,,,,,,,,,,,,,,X,,X,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.277,Office of Management and Budget (OMB),Appendix I,Independent Evaluations ,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Independent Evaluations  ; Perform an independent evaluation of the information security programs and practices to determine the effectiveness of such programs and practices, as further described in statute.  The evaluation may include an evaluation of their privacy program and practices, as appropriate. Each evaluation shall include: Testing of the effectiveness of information security policies, procedures, and practices of a representative subset of the agency’s Federal information systems; An assessment of the effectiveness of the information security policies, procedures, and practices of the agency; and Separate presentations, as appropriate, regarding information security relating to national security systems.",shall,All CFO Act Agencies,None specified,FISMA (44 U.S.C. § 3555).,,,,,x,,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.278,Office of Management and Budget (OMB),Appendix I,NIST Standards and Guidelines,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; NIST Standards and Guidelines ; For non-national security programs and information systems, agencies must apply NIST guidelines unless otherwise stated by OMB. FIPS are mandatory.  There is flexibility within NIST's guidelines (specifically in the 800-series) in how agencies apply those guidelines.  Unless specified by additional implementing policy by OMB, the concepts and principles described in NIST guidelines must be applied.  However, NIST guidelines generally allow agencies latitude in their application.  Consequently, the application of NIST guidelines by agencies can result in different solutions that are equally acceptable and compliant with the guidelines.",must,All CFO Act Agencies,None specified,None specified,,,,,x,,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.279,Office of Management and Budget (OMB),Appendix I,NIST Standards and Guidelines,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; NIST Standards and Guidelines ; For legacy information systems, agencies are expected to meet the requirements of, and be in compliance with, NIST standards and guidelines within one year of their respective publication dates unless otherwise directed by OMB.  The one-year compliance date for revisions to NIST publications applies only to new or updated material in the publications.  For information systems under development or for legacy systems undergoing significant changes, agencies are expected to meet the requirements of, and be in compliance with, NIST standards and guidelines immediately upon deployment of the systems.",NA,All CFO Act Agencies,7/27/2017,NIST,,,,,x,,,,,,,x,,,,,,,,,x,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.28,Office of Management and Budget (OMB),Appendix I,Risk Management Framework,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Risk Management Framework ; Agencies select an initial set of baseline security controls for the information system based on the security categorization and then tailor the security control baseline as needed, based on an organizational assessment of risk and local conditions, as described in NIST SP 800-53.  After implementing the security controls, agencies assess the controls using appropriate assessment methods as described in NIST SP 800-53A to determine whether the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements for the system. ",NA,All CFO Act Agencies,None specified,NIST SP 800-53,,,,,x,,,,,,,x,,,,,,,,,x,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.281,Office of Management and Budget (OMB),Appendix I,Security Control Baselines,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security Control Baselines ; To meet this objective, agencies must select an appropriate set of security controls for their information systems that satisfies the minimum security requirements set forth in FIPS Publication 200.  The security controls must include one of the three security control baselines from NIST SP 800-53 that are associated with the designated categorization (impact levels) of their information systems.  The security control baselines define the set of minimum security controls for a low-impact, moderate-impact, or high-impact information system and provide a starting point for the tailoring process.  ",must,All CFO Act Agencies,None specified,NIST SP 800-53,,,,,x,,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.282,Office of Management and Budget (OMB),Appendix I,Security Control Baselines,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security Control Baselines ; Agencies are required to tailor the security control baselines to customize their safeguarding measures for specific missions, business lines, and operational environments—and to do so in a cost-effective, risk-based manner.  Tailoring allows agencies to designate common controls; apply scoping considerations; select compensating controls; assign specific values to agency-defined control parameters; supplement baselines with additional controls when necessary; and provide additional specification information for control implementation.",are required to,All CFO Act Agencies,None specified,None specified,,,,,x,,,x,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.283,Office of Management and Budget (OMB),Appendix I,Security Control Baselines,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security Control Baselines ; Agencies must include a justification, in their information system security plans or overlays, for any tailoring actions that result in changes to the initial security control baselines.  ",must,All CFO Act Agencies,None specified,None specified,,,,,x,,,,,,,,,,,,,,,,,,X,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.284,Office of Management and Budget (OMB),Appendix I,Security Control Baselines,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security Control Baselines ; Agencies are not permitted to make changes to security control baselines when such changes result in control selections that are inconsistent with security requirements set forth in Federal statutes, executive orders, regulations, directives, or policies.",are not permitted to,All CFO Act Agencies,None specified,None specified,,,,,x,,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.285,Office of Management and Budget (OMB),Appendix I,Security Control Baselines,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security Control Baselines ; Agencies may also develop overlays for specific types of information or communities of interest (e.g., all web-based applications, all health care-related systems) as part of the security control selection process.  Overlays provide a specification of security or privacy controls, control enhancements, supplemental guidance, and other supporting information as part of the tailoring process, that is intended to complement (and further refine) security control baselines.  The overlay may be more stringent or less stringent than the original security control baseline and can be applied to multiple information systems. ",may,All CFO Act Agencies,None specified,None specified,,,,,x,,,,x,x,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.286,Office of Management and Budget (OMB),Appendix I,Security Control Baselines,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security Control Baselines ; All selected security controls must be documented in an information system security plan and implemented.  Agencies can use the priority code designations associated with each security control in NIST SP 800-53 to assist in making sequencing decisions for control implementation.  ",must,All CFO Act Agencies,None specified,None specified,,,,,x,,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.287,Office of Management and Budget (OMB),Appendix I,Security and Privacy Assessments,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security and Privacy Assessments ; Agencies must ensure that periodic testing and evaluation of the effectiveness of information security and privacy policies, procedures, and practices are performed with a frequency depending on risk, but at least annually.  However, this general requirement to test and evaluate the effectiveness of information security and privacy policies, procedures, and practices does not imply that agencies must assess every selected and implemented security and privacy control at least annually.  Rather, agencies must continuously monitor all implemented security and privacy controls (i.e., system-specific, hybrid, and common controls) with a frequency determined by the agency in accordance with the ISCM and PCM strategies.",must,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.288,Office of Management and Budget (OMB),Appendix I,Security and Privacy Assessments,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security and Privacy Assessments ; These strategies will define the specific security and privacy controls selected for assessment during any one-year period (i.e., the annual assessment window) with the understanding that all controls may not be formally assessed every year.  Rotational assessment of security and privacy controls is consistent with the transition to ongoing authorization and assumes the information system has completed an initial authorization where all controls were formally assessed for effectiveness.  As the transition to ongoing authorization progresses and agency ISCM programs mature, agencies must ensure that assessment frequencies are determined in accordance with NIST SP 800-137.",will,All CFO Act Agencies,7/27/2017,None specified,,,,,x,x,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.289,Office of Management and Budget (OMB),Appendix I,Security and Privacy Assessments,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security and Privacy Assessments ; Security and privacy control assessments shall ensure that security and privacy controls selected by agencies are implemented correctly, operating as intended, and effective in satisfying security and privacy requirements.  The risk may change over time based on changes in the threat, agency missions or business functions, personnel, technology, or environments of operation. ",shall,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.290,Office of Management and Budget (OMB),Appendix I,Security and Privacy Assessments,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security and Privacy Assessments ; maintaining a capability for real-time or near real-time analysis of the threat environment and situational awareness following an incident is paramount.  ",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.291,Office of Management and Budget (OMB),Appendix I,Security and Privacy Assessments,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Security and Privacy Assessments ; The type, rigor, and frequency of control assessments, which is established by the agency’s risk tolerance and risk management strategy, shall be commensurate with the level of awareness necessary for effectively determining information security and privacy risk.  Technical security tools such as malicious code scanners, vulnerability assessment products (which look for known security weaknesses, configuration errors, and the installation of the latest patches), and penetration testing can assist in the ongoing assessment of information systems.",shall,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.292,Office of Management and Budget (OMB),Appendix I,Authorizing Official,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorizing Official ; The authorizing official is a senior agency official or executive with the authority to formally assume responsibility for operating an information system at an acceptable level of risk to agency operations and assets, individuals, other organizations, and the Nation",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.293,Office of Management and Budget (OMB),Appendix I,Authorizing Official,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorizing Official ; Authorizing officials have budgetary oversight for an information system or be responsible for the mission or business operations supported by the system.",NA,All CFO Act Agencies,None specified,None specified,,,,,,,,,,,,,,,,x,,X,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.294,Office of Management and Budget (OMB),Appendix I,Authorizing Official,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorizing Official ; Through the authorization process, authorizing officials are responsible and accountable for the risks associated with information system operations.  Because information security is closely related to the privacy protections required for PII, authorizing officials are also responsible and accountable for the privacy risks that arise from the operation of an information system.  ",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,,,X,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.295,Office of Management and Budget (OMB),Appendix I,Authorizing Official,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorizing Official ; authorizing officials must be in management positions with a level of authority commensurate with understanding and accepting such information system-related security and privacy risks.  ",must,All CFO Act Agencies,None specified,None specified,,x,,,x,x,,,,,,,,,,x,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.296,Office of Management and Budget (OMB),Appendix I,Authorizing Official,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorizing Official ; Since the SAOP is the senior official, designated by the head of each agency, who has overall agency-wide responsibility for privacy, agencies must consider input and recommendations submitted by the SAOP in the authorization decision.  ",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.297,Office of Management and Budget (OMB),Appendix I,Authorizing Official,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorizing Official ; the SAOP has responsibility for reviewing the authorization package for information systems that create, collect, use, process, store, maintain, disseminate, disclose, or dispose of PII, to ensure that privacy risks are managed prior to system authorization. ",NA,All CFO Act Agencies,None specified,None specified,,,,,,x,,,,,,,,,,x,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.298,Office of Management and Budget (OMB),Appendix I,Authorizing Official,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorizing Official ; In situations where the authorizing official and SAOP cannot reach a final resolution regarding the appropriate protection for the agency information and information system, the head of the agency must review the associated risks and requirements and make a final determination regarding the issuance of the authorization to operate",must,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.299,Office of Management and Budget (OMB),Appendix I,Authorizing Official,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorizing Official ; Agencies can choose from several different approaches when planning for and conducting authorizations.  These include an authorization with a single authorizing official, an authorization with multiple authorizing officials, or leveraging an existing authorization (see Section 6j, Joint and Leveraged Authorizations).  Agencies can, at their discretion, include the CIO or the SAOP as a co-authorizing official with a senior agency official who has budgetary oversight for an information system or is responsible for the mission or line of business supported by the system being authorized for operation.  Regardless of the approach used, only Federal Government personnel may serve as an authorizing official.  ",can,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,X,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.300,Office of Management and Budget (OMB),Appendix I,Authorization to Operate,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorization to Operate ; The decision to authorize an information system to operate shall be based on a review of the authorization package and includes an assessment of compliance with applicable requirements and risk to agency operations and assets, individuals, other organizations, and the Nation.  ",shall,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,,X,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.301,Office of Management and Budget (OMB),Appendix I,Authorization to Operate,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorization to Operate ; The decision to authorize a system, or agency-defined common controls, shall be made by the appropriate authorizing official.  Since the information system security plan and privacy plan establish the security and privacy controls selected for implementation, those plans are a critical part of the authorization package and shall form the basis for the authorization, supplemented by more specific information as needed. ",shall,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,,X,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.302,Office of Management and Budget (OMB),Appendix I,Authorization to Operate,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorization to Operate ; In the event that there is a change in authorizing officials, the new authorizing official reviews the current authorization decision document, authorization package, and any updated documents created as a result of the continuous monitoring activities.  ",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,,X,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.303,Office of Management and Budget (OMB),Appendix I,Authorization to Operate,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorization to Operate ; If the new authorizing official is willing to accept the currently documented risk, then the official signs a new authorization decision document, thus formally transferring responsibility and accountability for the information system or the common controls and explicitly accepting the risk.  ",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,,X,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.304,Office of Management and Budget (OMB),Appendix I,Authorization to Operate,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Authorization to Operate ; If the new authorizing official is not willing to accept the previous authorization results (including the identified risk), a reauthorization action may need to be initiated or the new authorizing official may instead establish new terms and conditions for continuing the original authorization, but not extend the original authorization termination date.",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.305,Office of Management and Budget (OMB),Appendix I,Ongoing Authorization,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Ongoing Authorization ; First, the information system or common controls must have been granted an initial authorization to operate by the designated authorizing official.",must,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,x,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.306,Office of Management and Budget (OMB),Appendix I,Ongoing Authorization,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Ongoing Authorization ; Second, ISCM and PCM programs must be in place to monitor all implemented security and privacy controls with the appropriate degree of rigor and at the appropriate frequencies in accordance with applicable ISCM and PCM strategies, OMB guidance, and NIST guidelines.  ",must,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.307,Office of Management and Budget (OMB),Appendix I,Ongoing Authorization,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Ongoing Authorization ; Ongoing authorization can either be a time-driven or event-driven process whereby the authorizing official is provided with the necessary and sufficient information regarding the near real-time state of the information system and inherited common controls to determine whether all applicable security and privacy requirements have been satisfied and the mission or business risk is acceptable.",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.308,Office of Management and Budget (OMB),Appendix I,Ongoing Authorization,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Ongoing Authorization ; Effective ongoing authorization requires robust ISCM and PCM strategies and effective operational ISCM and PCM programs.  ",requires,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.309,Office of Management and Budget (OMB),Appendix I,Ongoing Authorization,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Ongoing Authorization ; Until a formal approval is obtained from the authorizing official to transition to ongoing authorization, information systems (and common controls) remain under a static authorization process with specific authorization termination dates enforced by the agency.",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.310,Office of Management and Budget (OMB),Appendix I,Joint and Leveraged Authorizations,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Joint and Leveraged Authorizations ; Agencies are encouraged to use joint and leveraged authorizations whenever practicable.  Joint authorizations can be used when multiple agency officials either from the same agency or different agencies, have a shared interest in authorizing an information system or common controls.  The participating officials are collectively responsible and accountable for the system and the common controls and jointly accept the risks that may adversely impact agency operations and assets, individuals, other organizations, and the Nation.  ",are encouraged to,All CFO Act Agencies,None specified,None specified,,,,,x,x,x,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.311,Office of Management and Budget (OMB),Appendix I,Joint and Leveraged Authorizations,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Joint and Leveraged Authorizations ; Agencies choosing a joint authorization approach should work together on the planning and the execution of the Risk Management Framework tasks described in NIST SP 800-37 and document their agreement and progress in implementing the tasks.  The specific terms and conditions of the joint authorization are established by the participating parties in the joint authorization including, for example, the process for ongoing determination and acceptance of risk.  The joint authorization remains in effect only as long as there is mutual agreement among authorizing officials and the authorization meets the requirements established by Federal or agency policies.",should,All CFO Act Agencies,None specified,None specified,,,,,x,x,x,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.312,Office of Management and Budget (OMB),Appendix I,Joint and Leveraged Authorizations,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Joint and Leveraged Authorizations ; Leveraged authorizations can be used when an agency chooses to accept some or all of the information in an existing authorization package generated by another agency based on the need to use the same information resources (e.g., information system or services provided by the system).[1]  The leveraging agency reviews the owning agency’s authorization package as the basis for determining risk to the leveraging agency.  The leveraging agency considers risk factors such as the time elapsed since the authorization results were produced, differences in environments of operation (if applicable), the impact of the information to be processed, stored, or transmitted, and the overall risk tolerance of the leveraging agency.  ",NA,All CFO Act Agencies,None specified,None specified,,,,,x,x,x,,,,,,,,,,,,,,,,,
6,Managing Information as a Strategic Resource,https://www.whitehouse.gov/sites/default/files/omb/assets/OMB/circulars/a130/a130revised.pdf,A-130,Circular,7/27/2016,None specified,6.313,Office of Management and Budget (OMB),Appendix I,Joint and Leveraged Authorizations,"[The following is language from OMB Circular A-130, follow link for full document] ; Appendix I ; Joint and Leveraged Authorizations ; The leveraging agency may determine that additional security measures are needed and negotiate with the owning agency to provide such measures.  To the extent that a leveraged authorization includes an information system that creates, collects, uses, processes, stores, maintains, disseminates, discloses, or disposes of PII, leveraging agencies must consult their SAOP.  The SAOP may determine that additional measures are required to manage privacy risks prior to leveraging the authorization.  ",may,All CFO Act Agencies,None specified,None specified,,,,,x,x,x,,,,,,,,,x,,,,,,,,
